DIFF_ND,DIFF_NF,DIFF_EN,SIZE_LA,SIZE_LD,PURP_FIX,PURP_MR,SKIP_DOC,SKIP_MET,SKIP_COM,SKIP_FRM,SKIP_BLD,LABEL,CM_add,CM_csv,CM_dependencies,CM_dropwizard,CM_fix,CM_make,CM_mtsar,CM_process,CM_update,CM_use
0,2,0.20761245674740492,6,11,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0,1,0.0,2,2,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0,2,0.4444444444444444,5,4,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.8216451339590656,0.0,0.0,0.0,0.0,0.5699993630184066,0.0
0,1,0.0,1,1,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.8216451339590656,0.0,0.0,0.0,0.0,0.5699993630184066,0.0
1,2,0.31999999999999984,5,5,0,0,1,0,0,0,0,0,0.0,0.0,0.6301773968342085,0.6379673409973876,0.0,0.0,0.0,0.0,0.44257668300531083,0.0
0,1,0.0,1,1,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.8216451339590656,0.0,0.0,0.0,0.0,0.5699993630184066,0.0
0,1,0.0,1,1,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0,2,0.4885215794306703,14,19,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,0.0,4,4,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0,1,0.0,2,2,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0,1,0.0,2,2,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0,1,0.0,1,1,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0,3,0.6399999999999999,3,2,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,0.0,2,2,0,0,1,0,0,0,0,0,0.0,0.0,0.8183448011380535,0.0,0.0,0.0,0.0,0.0,0.5747275758568747,0.0
0,1,0.0,1,1,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.8216451339590656,0.0,0.0,0.0,0.0,0.5699993630184066,0.0
0,1,0.0,1,3,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,0.0,2,2,0,0,1,0,0,0,0,0,0.0,0.0,0.8183448011380535,0.0,0.0,0.0,0.0,0.0,0.5747275758568747,0.0
0,1,0.0,1,0,0,0,1,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,0.0,1,1,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.8216451339590656,0.0,0.0,0.0,0.0,0.5699993630184066,0.0
0,1,0.0,1,2,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,3,0.4553846153846153,35,30,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0,1,0.0,1,1,0,0,1,0,0,0,0,0,0.0,0.0,0.8183448011380535,0.0,0.0,0.0,0.0,0.0,0.5747275758568747,0.0
0,1,0.0,2,2,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.8216451339590656,0.0,0.0,0.0,0.0,0.5699993630184066,0.0
2,13,0.9140625,13,19,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,0.0,5,5,0,0,1,0,0,0,0,0,0.0,0.0,0.8183448011380535,0.0,0.0,0.0,0.0,0.0,0.5747275758568747,0.0
2,4,0.5397923875432526,10,7,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.8216451339590656,0.0,0.0,0.0,0.0,0.5699993630184066,0.0
0,1,0.0,1,1,0,0,1,0,0,0,0,0,0.0,0.0,0.8183448011380535,0.0,0.0,0.0,0.0,0.0,0.5747275758568747,0.0
0,1,0.0,1,1,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,1,0.0,6,1,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,8,0.8733244777200821,49,42,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0,1,0.0,2,2,0,0,1,0,0,0,0,0,0.0,0.0,0.8183448011380535,0.0,0.0,0.0,0.0,0.0,0.5747275758568747,0.0
5,7,0.816654492330168,8,29,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,7,0.816654492330168,29,8,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.0,8,3,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,6,0.8140495867768596,22,22,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,11,0.7304076094405307,76,115,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,30,0.9059854644687012,323,213,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,30,0.9059854644687012,323,213,1,0,1,0,0,0,0,0,0.3863328311053484,0.0,0.0,0.0,0.2713851111303558,0.0,0.8617105517072889,0.0,0.18588165628488032,0.0
1,2,0.5,2,2,0,0,1,0,0,0,0,1,0.0,0.0,0.8183448011380535,0.0,0.0,0.0,0.0,0.0,0.5747275758568747,0.0
0,1,0.0,1,1,0,0,1,0,0,0,0,0,0.0,0.0,0.8183448011380535,0.0,0.0,0.0,0.0,0.0,0.5747275758568747,0.0
0,1,0.0,1,1,0,0,1,0,0,0,0,0,0.0,0.0,0.8183448011380535,0.0,0.0,0.0,0.0,0.0,0.5747275758568747,0.0
0,1,0.0,29,0,0,0,1,0,0,0,0,1,0.558046121728943,0.0,0.0,0.0,0.0,0.0,0.8298099336735405,0.0,0.0,0.0
0,1,0.0,5,4,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,0.0,5,0,0,0,1,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,0.4444444444444444,3,3,0,0,1,0,0,0,0,0,0.0,0.0,0.8183448011380535,0.0,0.0,0.0,0.0,0.0,0.5747275758568747,0.0
0,1,0.0,1,1,0,0,1,0,0,0,0,0,0.0,0.0,0.8183448011380535,0.0,0.0,0.0,0.0,0.0,0.5747275758568747,0.0
4,13,0.894901144640999,31,31,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,0.5,2,2,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.8216451339590656,0.0,0.0,0.0,0.0,0.5699993630184066,0.0
0,1,0.0,1,1,0,0,1,0,0,0,0,0,0.0,0.0,0.8183448011380535,0.0,0.0,0.0,0.0,0.0,0.5747275758568747,0.0
1,1,0.0,1,1,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,0.4444444444444444,3,3,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.8216451339590656,0.0,0.0,0.0,0.0,0.5699993630184066,0.0
0,1,0.0,13,50,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,0.0,1,1,0,0,1,0,0,0,0,1,0.0,0.0,0.8183448011380535,0.0,0.0,0.0,0.0,0.0,0.5747275758568747,0.0
1,2,0.4965277777777779,64,8,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,43,0.9617871840094062,90,99,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.0,15,16,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,5,0.5424956747404844,133,3,0,0,1,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,0.0,1,1,1,0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,0.0,1,1,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0,1,0.0,11,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0,1,0.0,4,1,0,0,1,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,0.0,1,1,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.0,8,2,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2,2,0.48753462603878117,14,5,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.0,1,1,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.0,12,4,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.0,1,1,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,5,0.46239692479384964,127,0,0,0,1,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.0,2,2,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,0.0,1,1,0,0,1,0,0,0,0,1,0.0,0.0,0.8183448011380535,0.0,0.0,0.0,0.0,0.0,0.5747275758568747,0.0
1,1,0.0,1,1,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.0,0,1,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.0,17,0,0,0,1,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.0,26,0,0,0,1,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,0.4986149584487536,7,12,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,3,0.6399999999999999,2,3,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.0,2,2,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1,1,0.0,9,0,0,0,1,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,16,0.9148978377306091,40,31,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,1,0.0,1,1,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0,1,0.0,1,1,0,0,1,0,0,0,0,1,0.0,0.0,0.8183448011380535,0.0,0.0,0.0,0.0,0.0,0.5747275758568747,0.0
0,1,0.0,1,1,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,0.0,1,1,0,0,1,0,0,0,0,0,0.0,0.0,0.8183448011380535,0.0,0.0,0.0,0.0,0.0,0.5747275758568747,0.0
0,1,0.0,2,2,0,0,1,0,0,0,0,0,0.0,0.0,0.8183448011380535,0.0,0.0,0.0,0.0,0.0,0.5747275758568747,0.0
0,1,0.0,1,1,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.8216451339590656,0.0,0.0,0.0,0.0,0.5699993630184066,0.0
0,1,0.0,1,1,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0,1,0.0,1,1,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,2,0.4444444444444444,3,3,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0,1,0.0,1,1,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0,1,0.0,1,1,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,1,0.0,16,15,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,3,0.6666666666666667,3,3,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1,2,0.375,4,4,0,0,1,0,0,0,0,0,0.0,0.0,0.8183448011380535,0.0,0.0,0.0,0.0,0.0,0.5747275758568747,0.0
0,1,0.0,1,1,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,1,0.0,3,2,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.0,1,1,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0,1,0.0,1,1,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.8216451339590656,0.0,0.0,0.0,0.0,0.5699993630184066,0.0
3,3,0.664819944598338,58,56,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,8,0.8302384767650108,61,42,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1,2,0.375,0,8,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,0.0,33,2,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.8216451339590656,0.0,0.0,0.0,0.0,0.5699993630184066,0.0
2,4,0.6224489795918368,14,14,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,1,0.0,1,1,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0,1,0.0,2,2,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,0.0,1,12,0,0,1,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,1,0.0,7,2,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,3,0.5511111111111111,8,7,0,0,1,0,0,0,0,1,0.0,0.685788514931988,0.0,0.0,0.7278008744068521,0.0,0.0,0.0,0.0,0.0
1,1,0.0,0,1,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5,0.5942906574394464,36,32,0,0,1,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,0.5190311418685121,10,7,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0,1,0.0,1,1,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,1,0.0,2,2,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,64,0.9541303306714781,507,531,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1,1,0.0,25,23,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,8,0.6870693799070662,66,92,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,1,0.0,1,1,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0,4,0.75,4,4,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,0.0,0,5,1,0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.0,0,21,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,20,0.9466764061358656,92,93,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,2,0.31999999999999984,2,8,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,8,0.7382248076562207,43,30,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,0.1527777777777779,48,0,0,0,1,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,0.6666666666666667,9,9,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.0,4,4,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.0,2,1,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,3,0.5714285714285714,10,11,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
